20200818_12_56_01;25.74;107765.390625;43.3818359375
20200818_04_53_12;25.36;109580.835938;45.439453125
20200818_03_33_01;25.42;109234.015625;44.0869140625
20200818_13_19_51;25.82;107331.628906;42.884765625
20200818_08_34_40;25.3;109976.125;47.6328125
20200818_05_07_59;25.41;109352.007812;45.7802734375
20200818_20_08_52;25.0;111415.167969;45.24609375
20200818_03_39_07;25.43;109169.75;44.1591796875
20200818_03_13_29;25.4;109330.058594;43.8916015625
20200818_12_37_43;25.64;108259.605469;43.8916015625
20200818_19_51_46;26.34;104659.515625;44.9716796875
20200818_04_10_08;25.44;109177.859375;44.7021484375
20200818_02_11_08;24.25;114923.761719;45.20703125
20200818_13_35_31;25.81;107370.261719;42.8955078125
20200818_05_28_24;25.35;109645.578125;46.134765625
20200818_03_53_56;25.41;109286.46875;44.458984375
20200818_07_11_29;25.25;110152.820312;47.7119140625
20200818_04_56_42;25.38;109506.265625;45.46484375
20200818_11_04_26;25.34;109788.683594;45.1962890625
20200818_12_18_50;25.52;108885.539062;44.2998046875
20200818_02_53_16;25.46;109064.738281;43.2470703125
20200818_09_12_21;24.59;113411.671875;48.0615234375
20200818_12_53_24;25.72;107861.882812;43.4404296875
20200818_04_10_29;25.41;109325.484375;44.818359375
20200818_04_40_28;25.38;109463.402344;45.201171875
20200818_02_31_40;25.32;109744.820312;42.873046875
20200818_20_15_40;24.92;111792.328125;45.57421875
20200818_05_49_02;25.33;109725.011719;46.4462890625
20200818_19_58_45;25.5;108943.726562;44.39453125
20200818_06_58_45;25.29;109981.652344;47.451171875
20200818_11_21_34;25.37;109636.652344;44.837890625
20200818_07_56_02;25.35;109712.78125;47.830078125
20200818_08_50_42;25.53;108842.625;46.86328125
20200818_11_24_22;25.41;109433.828125;44.8798828125
20200818_11_25_56;25.4;109483.328125;44.853515625
20200818_13_23_10;25.85;107200.191406;42.875
20200818_08_58_11;24.22;115176.757812;48.8359375
20200818_06_21_31;25.35;109648.527344;46.6279296875
